Frame Number,Time Stamp (ms),Buffer Index
0,-4,0
1,32,0
2,63,0
3,92,0
4,139,0
5,172,0
6,204,0
7,236,0
8,268,0
9,300,0
10,338,0
11,364,0
12,396,0
13,435,0
14,475,0
15,508,0
16,540,0
17,572,0
18,604,0
19,636,0
20,668,0
21,700,0
22,740,0
23,765,0
24,799,0
25,843,0
26,876,0
27,908,0
28,942,0
29,972,0
30,1003,0
31,1037,0
32,1068,0
33,1100,0
34,1142,0
35,1180,0
36,1212,0
37,1244,0
38,1276,0
39,1308,0
40,1343,0
41,1372,0
42,1404,0
43,1440,0
44,1470,0
45,1500,0
46,1549,0
47,1580,0
48,1612,0
49,1644,0
50,1676,0
51,1709,0
52,1745,0
53,1772,0
54,1804,0
55,1842,0
56,1884,0
57,1916,0
58,1949,0
59,1980,0
60,2012,0
61,2044,0
62,2076,0
63,2108,0
64,2148,0
65,2172,0
66,2207,0
67,2251,0
68,2284,0
69,2316,0
70,2349,0
71,2381,0
72,2412,0
73,2445,0
74,2476,0
75,2508,0
76,2550,0
77,2588,0
78,2620,0
79,2652,0
80,2684,0
81,2716,0
82,2751,0
83,2780,0
84,2812,0
85,2848,0
86,2878,0
87,2908,0
88,2956,0
89,2987,0
90,3020,0
91,3052,0
92,3084,0
93,3116,0
94,3153,0
95,3179,0
96,3212,0
97,3249,0
98,3281,0
99,3323,0
100,3356,0
101,3388,0
102,3420,0
103,3452,0
104,3484,0
105,3516,0
106,3555,0
107,3580,0
108,3615,0
109,3660,0
110,3692,0
111,3724,0
112,3757,0
113,3788,0
114,3820,0
115,3852,0
116,3884,0
117,3916,0
118,3958,0
119,3980,0
120,4028,0
121,4060,0
122,4092,0
123,4124,0
124,4158,0
125,4188,0
126,4219,0
127,4254,0
128,4285,0
129,4316,0
130,4364,0
131,4396,0
132,4428,0
133,4460,0
134,4491,0
135,4524,0
136,4560,0
137,4587,0
138,4620,0
139,4657,0
140,4688,0
141,4732,0
142,4765,0
143,4795,0
144,4827,0
145,4860,0
146,4892,0
147,4924,0
148,4964,0
149,4988,0
150,5022,0
151,5067,0
152,5100,0
153,5133,0
154,5165,0
155,5196,0
156,5228,0
157,5261,0
158,5292,0
