Frame Number,Time Stamp (ms),Buffer Index
0,-13,0
1,23,0
2,54,0
3,88,0
4,120,0
5,154,0
6,189,0
7,222,0
8,255,0
9,289,0
10,322,0
11,356,0
12,390,0
13,423,0
14,457,0
15,490,0
16,523,0
17,558,0
18,592,0
19,624,0
20,659,0
21,692,0
22,724,0
23,759,0
24,793,0
25,826,0
26,861,0
27,893,0
28,927,0
29,961,0
30,993,0
31,1027,0
32,1063,0
33,1094,0
34,1128,0
35,1163,0
36,1195,0
37,1229,0
38,1263,0
39,1296,0
40,1329,0
41,1364,0
42,1397,0
43,1430,0
44,1464,0
45,1499,0
46,1531,0
47,1565,0
48,1600,0
49,1632,0
50,1666,0
51,1700,0
52,1733,0
53,1766,0
54,1801,0
55,1834,0
56,1867,0
57,1901,0
58,1934,0
59,1967,0
60,2001,0
61,2034,0
62,2068,0
63,2102,0
64,2135,0
65,2169,0
66,2203,0
67,2235,0
68,2269,0
69,2304,0
70,2337,0
71,2370,0
72,2404,0
73,2437,0
74,2471,0
75,2504,0
76,2538,0
77,2571,0
78,2605,0
79,2640,0
80,2672,0
81,2706,0
82,2740,0
83,2773,0
84,2807,0
85,2841,0
86,2875,0
87,2908,0
88,2943,0
89,2975,0
90,3009,0
91,3043,0
92,3075,0
93,3110,0
94,3143,0
95,3176,0
96,3210,0
97,3244,0
98,3277,0
99,3312,0
100,3345,0
101,3377,0
102,3412,0
103,3445,0
104,3479,0
105,3513,0
106,3546,0
107,3580,0
108,3614,0
109,3646,0
110,3679,0
111,3714,0
112,3747,0
113,3780,0
114,3814,0
115,3847,0
116,3881,0
117,3915,0
118,3949,0
119,3982,0
120,4015,0
121,4049,0
122,4082,0
123,4116,0
124,4150,0
125,4184,0
126,4216,0
127,4251,0
128,4284,0
129,4318,0
130,4351,0
131,4385,0
132,4418,0
133,4452,0
134,4485,0
135,4519,0
136,4553,0
137,4585,0
138,4620,0
139,4654,0
140,4687,0
141,4720,0
142,4754,0
143,4787,0
144,4821,0
145,4855,0
146,4888,0
147,4921,0
148,4955,0
149,4989,0
150,5022,0
151,5056,0
152,5090,0
153,5123,0
154,5157,0
155,5192,0
156,5223,0
157,5257,0
158,5292,0
159,5324,0
160,5358,0
161,5393,0
162,5426,0
163,5460,0
164,5493,0
165,5526,0
166,5560,0
167,5595,0
168,5627,0
169,5661,0
170,5695,0
